video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
auIdp0gk4bA,Tiny kitten cuteness overload! 😻💕 #cute #kitten #cat #meow,Tiny kitten cuteness overload! 😻💕 #cute #kitten #cat #meow,2025-10-24T10:15:00Z,,#cute|#kitten|#cat|#meow,PT10S,505602,5285,53
5JoQSW-55wQ,Your little cutie suddenly appeared 😻💕#cute #kitten #cat #meow,Your little cutie suddenly appeared 😻💕#cute #kitten #cat #meow,2025-10-24T04:01:30Z,,#kitten|#cat|#meow,PT12S,1982643,18689,466
2lz8gyzaEoA,"Today, I tied two braids in this kitten head 😻💕#cute #kitten #cat #meow","Today, I tied two braids in this kitten head 😻💕#cute #kitten #cat #meow",2025-10-23T04:01:13Z,,#kitten|#cat|#meow,PT10S,14049260,150811,393
bJDJjrAS-_E,This kitten is learning swimming...for the next Olympic😻💕#cute #kitten #cat #meow #adorable,This kitten is learning swimming...for the next Olympic😻💕#cute #kitten #cat #meow #adorable,2025-10-21T04:01:12Z,,#kitten|#cat|#meow|#adorable,PT9S,695575,7341,88
e8HyFhuNIkE,The most polite kitten ever😻so adorable 💕#cute #kitten #cat #meow #adorable,The most polite kitten ever😻so adorable 💕#cute #kitten #cat #meow #adorable,2025-10-17T04:01:30Z,,#kitten|#cat|#meow|#adorable,PT10S,352219,4458,58
4aRVpUcoKQk,The brown kitten leap towards you 😻💕#cute #kitten #cat #meow #adorable,The brown kitten leap towards you 😻💕#cute #kitten #cat #meow #adorable,2025-10-14T04:01:17Z,,#kitten|#cat|#meow|#adorable,PT11S,1503153,11282,127
1v4QmD3zHFA,The Kitten squishy seriously so soft 😻💕#cute #kitten #cat #meow,The Kitten squishy seriously so soft 😻💕#cute #kitten #cat #meow,2025-10-13T04:01:11Z,,#kitten|#cat|#meow,PT14S,1308355,16320,318
h3-SLdVqbTQ,The white Kitten leap towards you😻💕#cute #kitten #cat #meow,The white Kitten leap towards you😻💕#cute #kitten #cat #meow,2025-10-11T04:01:12Z,,#kitten|#cat|#meow,PT11S,2521277,17497,188
J7pvNKlpgIg,The best hairpin is the one I made myself😻💕 #cute #kitten #cat #meow #adoreble,The best hairpin is the one I made myself😻💕 #cute #kitten #cat #meow #adoreble,2025-10-10T10:01:48Z,,#cute|#kitten|#cat|#meow|#adoreble,PT11S,1533106,9320,104
pb6BtmtnYDI,Did you see a little kitten takes its first bath in the water!!😻💕#cute #kitten #cat #meow,Did you see a little kitten takes its first bath in the water!!😻💕#cute #kitten #cat #meow,2025-10-08T10:01:43Z,,#kitten|#cat|#meow,PT9S,3585371,19763,101
