video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
mZ3h_WAhSKA,7 Year Old Siamese Cat Saved from Suffering on the Streets | Cat Man Chris,I was so happy to be a part of Tessa’s transFURmation!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #CatRescue #CatTransformation #CatManChris,2025-08-25T21:58:38Z,cat rescue|cat man chris|siamese cat|cat transformation|cat needed help|abandoned cat|helping cats|man saves cat|mange|sick cat|transformation|cats|meow,#CatRescue|#CatTransformation|#CatManChris,PT3M7S,14434,3604,351
CVjcI-A_EHs,Rescuing a Kitten Covered in Cobwebs,"This poor kitten was the last of her litter and in a dangerous spot, we decided to get her off the streets and into foster care ❤️  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #TinyKitten #CatManChris",2025-08-13T17:57:03Z,Cat Man Chris|kitten|kitten rescue|tiny kitten|angry kitten|kitten meow|kitten attack|purr|meow,#KittenRescue|#TinyKitten|#CatManChris,PT58S,19947,3290,188
K86T8TiWha8,Lion Roars and Grumpiness | Big Cat Sounds!,Big cat sounds are just PAWSOME... Hopefully you can feel the power through the screen!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #WorldLionDay #LionRoars #BigCats,2025-08-10T20:12:23Z,Lions|Lion Roar|angry lion|grumpy big cats|lion attack|big cats|cat man chris|big cat sounds|meow|purr|growl|roar|hiss|big cat rescue,#WorldLionDay|#LionRoars|#BigCats,PT4M27S,22908,1199,169
PnVf16F-BdQ,Bathing 15 Rescued Kittens!,Gotta get rid of those fleas!!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #CatManChris #TinyKittens #AngryKitten,2025-08-01T19:37:42Z,kittens|bathing kittens|tiny kittens|cute kittens|kitten rescue|cat man chris|moews|kitten sounds|kitten meow|angry kitten,#KittenRescue|#CatManChris|#TinyKittens|#AngryKitten,PT1M27S,24304,3261,193
XdS1X1R5B14,How To Catch 2 Mini Black Panthers,Two more void nuggets safe and off the streets!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #MiniPanthers #TinyKittens,2025-07-29T17:35:01Z,black cats|kitten rescue|catching kittens|cat trap|kitten trap|black kittens|black panthers|cat man chris|big cat rescue|leopard|tiger,#KittenRescue|#MiniPanthers|#TinyKittens,PT3M43S,35440,5826,422
Dpub1M07cnc,Finding 5 Kittens Hiding in a Garage,These little floofs were tricky to catch!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #CatManChris #TinyKittens #AngryKitten,2025-07-22T18:56:00Z,angry kitten|kitten meow|kitten rescue|cat man chris|cats|kittens|purr|kitten sounds,#KittenRescue|#CatManChris|#TinyKittens|#AngryKitten,PT1M29S,14721,2640,129
mb7UMYLLE18,25 Mins of Mom Cat and Tiny Kittens in their Nest ❤️,"If you need a relaxing dose of cuteness, look no further!  I filmed this adorable family so much, it seemed silly not to upload the footage for everyone to enjoy! ... Here's the link to their rescue vid: https://www.youtube.com/watch?v=ZXN1ardGsd8&t=13s  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  Thanks as always fur the support!   #CatManChris #MomAndKittens #TinyKittens #Relaxing",2025-07-20T19:32:38Z,25 minutes|kittens|cat mom and kittens|mom cat nursing kittens|tiny kittens|kitten meows|cat trill|cat sounds|sounds to attract kittens|sounds to attract cats|purr|love|cat family|cat man chris,#CatManChris|#MomAndKittens|#TinyKittens|#Relaxing,PT25M31S,14128,2158,192
feS6qFuAyhI,A Spicy Siamese Kitten Nugget!,One of 5 kittens I rescued from living in a garage!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #SpicyKitten #SpayAndNeuter #CatManChris,2025-07-13T15:54:53Z,siamese kitten|spicy kitten|angry kitten|kitten hiss|tiny kitten|cute kitten|cat man chris|cute aggression,#KittenRescue|#SpicyKitten|#SpayAndNeuter|#CatManChris,PT52S,42344,5950,283
UsfONz85hgA,I Rescued 4 Tiny Kittens from Living on the Streets,"The kitten snatcher strikes again! ... we've been trapping at this trailer park for months, over 70 cats spayed and neutered and 6 litters of kittens saved so far...  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #MomAndKittens #TinyKittens",2025-07-10T21:26:15Z,kitten rescue|abandoned kittens|cute kittens|cat man chris|chris poole|cat daddy|cat rescue|spay and neuter|TNR|trapping cats,#KittenRescue|#MomAndKittens|#TinyKittens,PT4M31S,21632,3732,268
Tiw4NBlNUW8,Kitten Snatchin' 4 Cute Tiny Kittens!,Ooooohh the Claw!! *I also trapped and spayed Momma so no more kittens will be suffering on the streets here... stay tuned for the full vid!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #KittenRescue #CatManChris #CuteKittens,2025-05-28T18:42:24Z,kitten rescue|grabbing kittens|kitten snatcher|cat man chris|cat rescue|tiny kittens|cat mom|cute kittens|tiny kittens need help|kittens|meow|kitten meows,#KittenRescue|#CatManChris|#CuteKittens,PT56S,59482,6449,349
